INSERT ALL
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Atlantic Star', 'Titanium Oceanic', 'Qatar', 2350, 2007, 'Lujo')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Aurora Seas', 'Emerald Ocean Tours', 'República Dominicana', 2650, 2021, 'Económico')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Blue Horizon', 'Caribbean Cruise', 'Dinamarca', 2100, 2007, 'Económico')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Blue Lagoon', 'Galactic Oceanic', 'Alemania', 1950, 2011, 'Premium')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Celestial Harmony', 'Atlantic Travels', 'Mónaco', 2400, 2008, 'Lujo')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Celestial Harmony', 'Mediterranean Lines', 'Nueva Zelanda', 1800, 2018, 'Económico')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Celestial Harmony', 'Titanium Oceanic', 'Italia', 1800, 2002, 'Económico')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Celestial Star', 'Caribbean Cruise', 'Vaticano', 2100, 2022, 'Económico')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Celestial Star', 'Neptune Adventures', 'Irlanda', 2650, 2024, 'Económico')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Eclipse Wave', 'Blue Wave Expeditions', 'México', 2400, 2021, 'Económico')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Eclipse Wave', 'Infinity Cruise Lines', 'República Checa', 2150, 2014, 'Económico')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Elysian Wave', 'Galactic Oceanic', 'Dinamarca', 1850, 2003, 'Lujo')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Emerald Tide', 'Blue Wave Expeditions', 'Nueva Zelanda', 1950, 2002, 'Premium')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Galactic Voyager', 'Atlantic Travels', 'Japón', 2700, 2002, 'Lujo')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Galactic Voyager', 'Galactic Oceanic', 'Reino Unido', 2100, 2003, 'Lujo')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Galactic Voyager', 'Mediterranean Lines', 'Rusia', 2650, 2003, 'Lujo')
